ENSEMBL_ID	CD_LPS_1	WD_LPS_1	CD_LPS_2	WD_LPS_2
ENSMUSG00000057841	13585	9978	8870	9818
ENSMUSG00000028822	16083	15164	14003	17455
ENSMUSG00000028961	12327	8981	10603	10187
ENSMUSG00000068245	24185	29373	27690	33720
ENSMUSG00000049723	17596	18492	22034	23852
ENSMUSG00000029840	15904	16155	18276	21155
ENSMUSG00000038650	12369	10905	9771	10397
ENSMUSG00000003429	11763	9241	8528	9446
ENSMUSG00000026219	16387	18062	23096	29101
ENSMUSG00000038178	1284	1365	1084	1258
ENSMUSG00000034116	20053	20116	17927	20598
ENSMUSG00000028788	11009	9768	9681	12037
ENSMUSG00000024858	13117	12349	12687	13793
ENSMUSG00000029771	11653	14255	13586	16665
ENSMUSG00000020368	12842	10921	12615	13596
ENSMUSG00000044350	22867	28256	28406	36257
ENSMUSG00000062006	16183	11545	9970	10589
ENSMUSG00000002603	10285	10869	9803	10131
ENSMUSG00000031701	20675	20901	22198	25837
ENSMUSG00000035929	22441	24372	19394	23939
ENSMUSG00000024030	11937	16008	13600	17249
ENSMUSG00000033379	18141	14839	12954	14059
ENSMUSG00000001847	11668	11994	11264	13739
ENSMUSG00000061904	14960	12965	11647	12202
ENSMUSG00000029994	14729	16212	17073	20148
ENSMUSG00000079419	18746	19953	20241	25007
ENSMUSG00000025366	10830	11608	14097	15484
ENSMUSG00000052593	13507	11848	14022	15760
ENSMUSG00000021423	12948	13735	10303	13291
ENSMUSG00000030220	8316	6577	7468	7698
ENSMUSG00000023367	15872	13440	10000	10284
ENSMUSG00000047675	13787	9510	8584	9000
ENSMUSG00000060636	15317	10833	9285	10729
ENSMUSG00000037849	19415	26386	28518	37790
ENSMUSG00000036636	18934	22690	21153	24874
ENSMUSG00000025362	12981	10501	9849	11040
ENSMUSG00000035004	19009	21014	20643	24397
ENSMUSG00000056692	18878	17906	18329	20469
ENSMUSG00000048234	24340	25121	22243	25032
ENSMUSG00000032336	11577	11398	11115	13817
ENSMUSG00000079339	20976	35907	35350	57484
ENSMUSG00000027351	15685	19820	21085	27800
ENSMUSG00000038976	11671	10935	11717	12341
ENSMUSG00000075700	17576	16229	17839	22968
ENSMUSG00000027828	18739	16751	17243	19547
ENSMUSG00000039678	20402	20173	22250	27336
ENSMUSG00000018654	11812	14905	19131	22721
ENSMUSG00000071714	11166	12784	13902	14276
ENSMUSG00000025888	26868	23494	24519	28001
ENSMUSG00000069833	4584	5169	6928	9521
ENSMUSG00000039497	12800	13055	15205	16869
ENSMUSG00000073702	14550	10470	9827	10529
ENSMUSG00000039630	11609	10498	11609	11999
ENSMUSG00000030681	21274	20050	18729	20506
ENSMUSG00000040952	14066	10135	8595	8425
