ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_Ctl_1_fpm	WD_Ctl_1_fpm	CD_Ctl_2_fpm	WD_Ctl_2_fpm
ENSMUSG00000043801	411.4895868043834	1.010206563261374	0.2706143089551287	1.2326269110009408e-5	4.765278452125743e-4	4.976153482970631	9.010095743112588	5.375616829270073	13.579335759510327
ENSMUSG00000038244	372.84445802878776	-1.075022782986513	0.2574264521335207	1.8730616834799502e-6	1.0865621507152348e-4	11.405343782968686	4.11027563538899	9.308115046655562	5.02378763842802
ENSMUSG00000073016	347.7042679349312	-2.073742811666494	0.2818748101513954	9.280378387948254e-15	1.0820921200347664e-11	9.952306965941261	3.0885122006030263	12.735521749881448	2.0586197465738882
ENSMUSG00000027864	394.01954247890404	-1.4591878932959514	0.2560917232625845	6.701556711551745e-10	1.8604797918260318e-7	13.25647287863376	4.412160286575752	10.210064179083426	3.663965420507654
ENSMUSG00000022584	447.8940764466971	2.0347488466113015	0.28285097457926633	3.315326480829806e-14	2.973592828190426e-11	3.4634028241475594	18.438185618637615	3.2830948420374266	10.670827126736208
ENSMUSG00000094392	319.49969331736474	1.1138321282641102	0.31320744708710285	2.2046692281533987e-5	7.429607861349314e-4	2.707027494736023	8.290216959513385	4.834447349813353	9.745392561762626
ENSMUSG00000081406	388.66590293360116	1.097622264394436	0.2608700062767961	1.6450053930011305e-6	9.941059244735123e-5	4.219778153559095	9.404867979279892	5.213265985433057	12.276172800669976
ENSMUSG00000025019	120.80452964608182	-1.7334288677374983	0.40722466048826367	1.0283413036063945e-6	7.07119782434004e-5	3.3638797544881465	0.7663225760894726	4.275238887708078	1.2653901194536743
ENSMUSG00000032086	267.26754294855607	-1.4940145155043327	0.31554862662813604	1.126825782550953e-7	1.2053934517930377e-5	6.886996420431353	3.251065474318975	9.217920133412775	2.0397333268805498
ENSMUSG00000043467	169.58673499786377	-1.3772902997746148	0.3236996421292586	1.1233297940079288e-6	7.442059885302528e-5	5.015962710834396	1.695198425894894	5.032876158947484	1.831982710253827
ENSMUSG00000051339	261.91748160986634	-1.2109239979035293	0.28958793733911015	1.645475501058215e-6	9.941059244735123e-5	8.519174762845719	3.158177889338433	6.4759947708320675	2.814076534307425
ENSMUSG00000024978	300.8950951412322	-1.1845542110899998	0.28449015567596997	1.787752515087473e-6	1.0474972023075344e-4	8.638602446437016	4.156719427879261	8.478321844821926	2.814076534307425
ENSMUSG00000015127	222.0536123345781	-1.3317478848055908	0.3695587719080221	1.528678667864648e-5	5.622836992839683e-4	7.006424104022648	3.1813997855835687	6.115215117860922	1.473140736080397
ENSMUSG00000063450	95.02419947591441	-1.0950822271366942	0.5733602740104682	0.0020302435470613196	0.018223741153760575	2.6473136529403756	1.5094232559338099	2.9403541717148385	0.5099333317201374
ENSMUSG00000106037	313.47651779417646	1.1723272176718642	0.32221406299112754	1.5482217774059106e-5	5.659598967403363e-4	3.841590488853327	6.339577674922002	3.3552507726316563	11.558488852323116
ENSMUSG00000040721	315.4889029675597	-1.2316241519715685	0.31187242880905847	4.231767140559728e-6	2.0996768025075078e-4	9.713451598758672	4.551491664046566	8.46028286217337	2.5307802389073486
