ENSEMBL	baseMean	log2FoldChange	lfcSE	pvalue	padj	CD_LPS_1_fpm	WD_LPS_1_fpm	CD_LPS_2_fpm	WD_LPS_2_fpm
ENSMUSG00000003662	1133.010028716323	-1.2375860827187057e-5	0.0014426957274544026	0.5593151186893959	0.9996008921543936	28.745783319893867	24.129605891222553	22.047579329174958	21.963577025960856
ENSMUSG00000022800	1858.9065947048161	-3.527826955402054e-7	0.0014426647991700146	0.9507271969248223	0.9996008921543936	43.75277314130905	40.23108611104491	36.10373218849007	38.87220055263723
ENSMUSG00000028049	1142.3602809470476	-3.0921429610032804e-6	0.0014426662822646728	0.7686568934251374	0.9996008921543936	23.123446288208743	25.599544394436673	24.609214663349206	24.353903874459718
ENSMUSG00000007656	1096.5716707437507	-2.131712849657742e-6	0.0014426744161500648	0.5838424840170033	0.9996008921543936	29.570110929802585	24.3783647148434	19.661098547764755	20.161035468076467
ENSMUSG00000022557	1112.4730808090414	-3.771381046428975e-6	0.0014426699453814452	0.39601448740257905	0.9996008921543936	26.37848351707908	24.33313583782143	24.434060110585158	19.984699880892126
ENSMUSG00000032369	2295.371205837277	-1.8775776794740652e-4	0.0014488668398414256	0.6175922249698985	0.9996008921543936	48.44509953617407	58.52616686643296	45.737232590512896	43.574482877553024
ENSMUSG00000020171	1417.0891479952343	-2.426044052318635e-6	0.001442672610279312	0.6528900144734286	0.9996008921543936	36.6297371274824	32.4064903862436	26.338865871894214	25.803774257975423
ENSMUSG00000004270	1224.526591050679	1.129732021065194e-6	0.001442664492664019	0.8123959291954306	0.9996008921543936	25.06801398337803	26.0518331646564	26.338865871894214	27.25364464149112
ENSMUSG00000004268	1277.2946610520132	-1.4532444376307555e-5	0.0014427131278275229	0.1973633464292504	0.9996008921543936	38.46862179574032	26.979025143606844	22.989035050281736	20.788006444731906
ENSMUSG00000026987	1311.3977017184438	4.586033173653245e-6	0.0014426834868847404	0.17046905116299335	0.9996008921543936	17.353153018847692	24.3783647148434	30.498786500040435	39.910621232722804
ENSMUSG00000031987	1277.1152325719238	-6.82141419262082e-6	0.0014426846113195484	0.1818600167094477	0.9996008921543936	36.77769336515833	28.765565785974776	24.915735130686297	18.750350770601727
ENSMUSG00000000399	1437.252243023276	-2.1287040975670466e-6	0.0014426680524596079	0.6548340885855692	0.9996008921543936	35.67858988528003	30.46164867429876	27.980939804057193	28.781886397088755
ENSMUSG00000026028	1409.2726352761601	1.4987560298598297e-6	0.0014426703992528112	0.7325712564208484	0.9996008921543936	27.0337182839296	26.255363111255278	31.484030859338223	35.73734566936004
